"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 01 14:50:32 IST 2026","Tue Sep 01 14:50:39 IST 2026","7720","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_login[performance_glitch_user-secret_sauce-success]",""
"passed","Tue Sep 01 14:49:47 IST 2026","Tue Sep 01 14:49:50 IST 2026","3095","Ecommerce_Saucedemo_Project.tests","test_homepage","","","","test_random_product_selection",""
"passed","Tue Sep 01 14:51:03 IST 2026","Tue Sep 01 14:51:06 IST 2026","2624","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_invalid_login[standard_user-secret_sauce123]",""
"passed","Tue Sep 01 14:51:11 IST 2026","Tue Sep 01 14:51:13 IST 2026","2263","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_invalid_login[invalid_user-secret_sauces]",""
"passed","Tue Sep 01 14:50:16 IST 2026","Tue Sep 01 14:50:19 IST 2026","2973","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_login[standard_user-secret_sauce-success]",""
"passed","Tue Sep 01 14:50:24 IST 2026","Tue Sep 01 14:50:27 IST 2026","3185","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_login[locked_out_user-secret_sauce-locked]",""
"passed","Tue Sep 01 14:50:02 IST 2026","Tue Sep 01 14:50:11 IST 2026","8897","Ecommerce_Saucedemo_Project.tests","test_homepage","","","","test_reset_app_state",""
"passed","Tue Sep 01 14:49:16 IST 2026","Tue Sep 01 14:49:33 IST 2026","17398","Ecommerce_Saucedemo_Project.tests","test_checkout","","","","test_complete_checkout",""
"passed","Tue Sep 01 14:50:53 IST 2026","Tue Sep 01 14:50:58 IST 2026","5024","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_invalid_login[invalid_user-secret_sauce]",""
"passed","Tue Sep 01 14:51:18 IST 2026","Tue Sep 01 14:51:22 IST 2026","4316","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_logout",""
"passed","Tue Sep 01 14:48:59 IST 2026","Tue Sep 01 14:49:02 IST 2026","3133","Ecommerce_Saucedemo_Project.tests","test_cartpage","","","","test_add_products_to_cart",""
"passed","Tue Sep 01 14:49:06 IST 2026","Tue Sep 01 14:49:10 IST 2026","4085","Ecommerce_Saucedemo_Project.tests","test_cartpage","","","","test_validate_cart_product_details",""
"passed","Tue Sep 01 14:50:45 IST 2026","Tue Sep 01 14:50:48 IST 2026","3303","Ecommerce_Saucedemo_Project.tests","test_login","","","","test_login[problem_user-secret_sauce-success]",""
"passed","Tue Sep 01 14:49:54 IST 2026","Tue Sep 01 14:49:57 IST 2026","3073","Ecommerce_Saucedemo_Project.tests","test_homepage","","","","test_sort_products_by_price",""
"passed","Tue Sep 01 14:49:39 IST 2026","Tue Sep 01 14:49:42 IST 2026","3254","Ecommerce_Saucedemo_Project.tests","test_homepage","","","","test_cart_icon_visibility",""
